USN ,rural/ urban area,Which teaching methods helped your learning? ,Were you prepared to take this course based on prior coursework?,"How much time did you spend weekly on this course outside of class for C01?
",How much time did you spend weekly on this course outside of class for C02? ,How much time did you spend weekly on this course outside of class for C03? ,How much time did you spend weekly on this course outside of class for C04? ,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,What were the key aspects of your efforts in CO1?,What were the key aspects of your efforts in CO2?,What were the key aspects of your efforts in CO3?,What were the key aspects of your efforts in CO4?,"
How satisfied are you with C01?","
How satisfied are you with C02?","
How satisfied are you with C03?","
How satisfied are you with C04?",List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,"How many marks will you give yourself for C01? 
","How many marks will you give yourself for C02? 
",How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C01?,Your overall feedback about the course,Write a paragraph about your course experience.
1RVU23CSE510,Urban,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",Yes,R3,R3,R4,R5,R7,R5,R5,R5,R1,R3,R3,R3,R3,R3,R3,R3,R5,R4,R4,R4,5,4,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,NO,NO,NO,NO,NO,NO,Good (70 - 90%),It helped me analyze graphs in more deeper level
1RVU23CSE074,Urban,"In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",No,R2,R2,R3,R3,R6,R6,R5,R5,R6,R6,R6,R6,R4,R4,R4,R4,R5,R5,R4,R5,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,NO,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),Data Analysis with Python was a very useful course for me as it helped me delve deeper into the world of data analysis.
1RVU23CSE281,Urban,"Class discussions, including online discussion boards;In-class clickers or other quick response methods;Labs;Projects or portfolios;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",No,,,,,R4,R4,R4,R3,R1,R3,R4,R2,R7,R2,R2,R1,R3,R5,R3,R3,3,2,3,2,NA(marks >2),Yourself,Yourself,NA(marks >2),Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),Excellent
1RVU23CSE517,Rural,"Lectures, including online lectures;In-class clickers or other quick response methods;Projects or portfolios",No,T3,T3,T3,T3,R7,R7,R6,R6,R7,R6,R6,R6,R1,R1,R3,R3,R5,R5,R5,R5,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),It was a nice experience for me to analyse datasets to see patterns and get interesting inference out of it I loved doing the final project that was my favourite one.
1RVU23CSE045,Urban,"Class discussions, including online discussion boards;In-class clickers or other quick response methods",No,T2,T2,T2,T3,R4,R4,R4,R4,R5,R5,R5,R5,R3,R3,R3,R3,R3,R3,R3,R3,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),NA
1RVU23CSE023,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Teamwork or group activities;Student presentations;Writing work",,T1,T3,T2,T3,R6,R5,R5,R4,,,,,R1,R1,R1,R1,R5,R5,R5,R5,5,2,4,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),My experience was good and i liked this course a lot and i loved doing this and even I made online course about it and i explored this course related a lot and it was enjoying too and the assessment was also given good.
1RVU23CSE312,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,T2,T2,T3,T3,R5,R4,R4,R5,,,,,R2,R2,R3,R3,R3,R4,R4,R5,4,4,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),NO,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),It is an excellent course and has given me an idea about what I could pursue in my future ahead.
1RVU23CSE439,Urban,"Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Fieldwork/ field trips",No,T1,T1,T2,T1,R4,R4,R4,R4,R8,R7,R8,R6,R1,R3,R4,R5,R3,R3,R4,R4,2,2,2,3,Yourself,Yourself,Yourself,Yourself,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Okay (40 - 70%),It was good but as I am new to this course it took me time to understand it and have to put in much efforts
1RVU23CSE105,Urban,"Class discussions, including online discussion boards;Teamwork or group activities",Yes,T1,T1,T2,T2,R5,R6,R6,R6,R6,R7,R7,R5,R2,R2,R3,R2,R3,R3,R3,R3,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,NO,Yes,NO,NO,Excellent (> 90%),"It was good ,interactive and enjoyable. "
1RVU23USN474,Urban,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Labs;Projects or portfolios;Teamwork or group activities;Student presentations;Guest lecturers;Fieldwork/ field trips;Writing work",Yes,T2,T2,T2,T2,R6,R6,R6,R6,R3,R3,R3,R3,R1,R1,R1,R1,R5,R5,R5,R5,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),It was good
