USN ,Gender,Age,12th marks %,rural/ urban area ,Section,Why take this course?,Which teaching methods helped your learning? ,Were you prepared to take this course based on prior coursework?,"How much time did you spend weekly on this course outside of class for C01?
",How much time did you spend weekly on this course outside of class for C02? ,How much time did you spend weekly on this course outside of class for C03? ,How much time did you spend weekly on this course outside of class for C04? ,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,What were the key aspects of your efforts in CO1?,What were the key aspects of your efforts in CO2?,What were the key aspects of your efforts in CO3?,What were the key aspects of your efforts in CO4?,"
How satisfied are you with C01?","
How satisfied are you with C02?","
How satisfied are you with C03?","
How satisfied are you with C04?",List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,"How many marks will you give yourself for C01? 
","How many marks will you give yourself for C02? 
","How many marks will you give yourself for C03? 
","How many marks will you give yourself for C04? 
","If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback 
1RVU23BSC147,Male,18,75,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",Yes,R3,R3,R3,R3,R7,R7,R7,R7,R3,R3,R3,R3,R3,R3,R3,R3,R4,R4,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),As I enjoyed learning this subject and I learnt a lot about this subject ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVUBSC23016,Female,23,74,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",No,R4,R5,R7,R8,R6,R6,R6,R6,R3,R4,R5,R5,R1,R2,R3,R3,R4,R4,R4,R4,3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),For any student themselves or the way of teaching can be used for betterment of the the students.,NO,NO,Yes,Yes,NO,NO,Yes,Yes,Good (70 - 90%)
1RVU23BSC073,Male,20,65,Rural,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty)","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R5,R5,R6,R6,R6,R6,R6,R6,R1,R1,R1,R1,R2,R2,R2,R2,R4,R4,R4,R4,4,4,4,4,Yourself,Yourself,Yourself,Yourself,I will blame myself beacuse the teachers gave there 100 percent in taching us,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
140,Female,20,72,Urban,IDA_B,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",Yes,R2,R2,R3,R3,R7,R7,R6,R6,R5,R5,R6,R5,R1,R2,R3,R3,R4,R4,R5,R5,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Nil,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC001,Male,18,70.4,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Student presentations",No,R2,R2,R2,R2,R7,R7,R7,R7,R7,R7,R7,R7,R3,R3,R3,R3,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Understood the subject due to practice and the good faculty.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC061,Male,19,83%,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,R6,R6,R6,R6,R7,R7,R7,R7,R5,R5,R5,R5,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC088 ,Female,18,93.33%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",No,R1,R1,R2,R2,R6,R6,R6,R6,R5,R6,R5,R6,R2,R3,R2,R2,R4,R4,R4,R4,4,4,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC043,Female,18,91,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;In-class learning activities, other than discussions;Projects or portfolios",No,R1,R1,R1,R1,R7,R7,R7,R7,R6,R6,R5,R5,R3,R3,R3,R3,R5,R5,R5,R5,5,5,5,5,Circumstances,NA(marks >2),NA(marks >2),NA(marks >2),The teachers made it simple.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
1RVU23BSC134,Male,18,78%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations",No,R2,R2,R2,R2,R6,R6,R6,R6,R1,R1,R1,R1,R2,R2,R2,R2,R4,R4,R4,R4,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2), ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%)
1RVU23BSC046,Male,18,70,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;Outside-class homework, readings;Teamwork or group activities",Yes,R2,R2,R2,R2,R7,R7,R7,R7,R1,R1,R1,R1,R1,R1,R1,R1,R5,R5,R5,R5,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I practiced alot and put in effort towards the subject ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%)
