USN,Gender,Age,12th marks %,rural/ urban area,Section,Why take this course?,Which teaching methods helped your learning?,Were you prepared to take this course based on prior coursework?,How much time did you spend weekly on this course outside of class for C01?,How much time did you spend weekly on this course outside of class for C02?,How much time did you spend weekly on this course outside of class for C03?,How much time did you spend weekly on this course outside of class for C04?,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,How satisfied are you with C01?,How satisfied are you with C02?,How satisfied are you with C03?,How satisfied are you with C04?,List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,How many marks will you give yourself for C01?,How many marks will you give yourself for C02?,How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback,Would more outside help improve your learning in C01?.1,Would more outside help improve your learning in C01?.2,Would more outside help improve your learning in C01?.3,Your overall feedback about the course,Write a paragraph about your course experience.,Were class activities allowed to be submitted after the class timing? [CO1]
1RVU23BSC147,Male,18.0,75,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Fits into my schedule","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities",Yes,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),As I enjoyed learning this subject and I learnt a lot about this subject ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVUBSC23016,Female,23.0,74,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",No,5-6 hours,7-8 hours,11-12 hours,13-15 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",3,3,3,3,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),For any student themselves or the way of teaching can be used for betterment of the the students.,NO,NO,Yes,Yes,NO,NO,Yes,Yes,Good (70 - 90%),,,,,,
1RVU23BSC073,Male,20.0,65,Rural,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty)","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,7-8 hours,7-8 hours,9-10 hours,9-10 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,Yourself,Yourself,Yourself,Yourself,I will blame myself beacuse the teachers gave there 100 percent in taching us,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
140,Female,20.0,72,Urban,IDA_B,Fulfills general curriculum/education requirement;Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions",Yes,1-2 hours,1-2 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Thinking creatively or critically,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Nil,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC001,Male,18.0,70.4,Urban,IDA_B,Interest in the subject,"Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Student presentations",No,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Understood the subject due to practice and the good faculty.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC061,Male,19.0,83%,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities;Student presentations",Yes,9-10 hours,9-10 hours,9-10 hours,9-10 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC088 ,Female,18.0,93.33%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Projects or portfolios;Teamwork or group activities",No,Less than one hour,Less than one hour,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I enjoyed doing the CO activities,Happy as I understood the teacher,Happy as I understood the teacher,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,3,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC043,Female,18.0,91,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;In-class learning activities, other than discussions;Projects or portfolios",No,Less than one hour,Less than one hour,Less than one hour,Less than one hour,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,Circumstances,NA(marks >2),NA(marks >2),NA(marks >2),The teachers made it simple.,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC134,Male,18.0,78%,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities;Student presentations",No,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,Happy as I understood the teacher,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2), ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC046,Male,18.0,70,Urban,IDA_B,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;Outside-class homework, readings;Teamwork or group activities",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I practiced alot and put in effort towards the subject ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
