Gender,Age,12th marks %,rural/ urban area,Were you prepared to take this course based on prior coursework?,Average Weekly Time Spent,Average Course Outcome Level,Average Effort in Course Outcomes,Average Satisfaction,Stratergies,Average Marks Given,Low mark reason,Faculty Concern,Outside help,Your overall feedback
1,2,34,1,1,2.0,5.75,5.0,2.0,2.75,2.25,1.0,0.0,0.0,0
0,6,33,1,0,5.0,4.75,6.25,1.25,2.75,1.25,1.0,0.5,0.5,1
1,4,12,0,1,4.5,4.75,0.0,1.0,2.75,2.25,3.0,1.0,1.0,0
0,4,26,1,1,1.5,5.25,7.25,1.25,3.25,3.0,1.0,0.0,0.0,0
1,2,21,1,0,1.0,5.75,9.0,2.0,3.75,3.25,1.0,0.0,0.0,0
1,3,60,1,1,5.0,5.75,7.0,0.0,3.75,3.25,1.0,0.0,0.0,0
0,2,90,1,0,0.5,4.75,7.5,1.25,2.75,2.0,1.0,1.0,1.0,0
0,2,81,1,0,0.0,5.75,7.5,2.0,3.75,3.25,0.75,0.0,0.0,0
1,2,44,1,0,1.0,4.75,0.0,1.0,2.75,2.25,1.0,1.0,1.0,0
1,2,19,1,1,1.0,5.75,0.0,0.0,3.75,3.25,1.0,0.0,0.0,0
0,2,40,1,1,1.0,4.75,5.25,1.0,3.75,3.25,1.0,1.0,1.0,0
0,1,18,0,1,1.0,2.75,4.0,0.0,3.75,0.25,3.0,1.0,1.0,3
0,2,88,1,0,1.0,5.75,7.0,0.0,3.75,2.25,1.0,0.0,0.0,1
0,3,19,0,1,2.0,4.75,5.5,2.5,3.5,2.25,3.0,0.0,0.25,1
1,2,35,1,1,2.75,5.75,9.5,0.0,3.75,3.25,1.0,0.0,0.0,0
0,2,86,1,0,0.75,4.75,7.0,0.0,3.5,2.25,1.0,0.0,0.0,0
0,2,67,1,1,3.25,5.75,7.0,2.0,3.75,3.25,0.0,0.0,0.0,0
1,1,14,0,1,1.0,5.75,5.0,0.0,3.75,2.75,1.0,1.0,0.0,0
1,2,38,1,0,2.0,2.75,8.0,3.0,1.75,2.25,1.0,0.0,0.0,1
0,1,31,0,1,1.0,4.75,0.0,2.0,2.75,2.25,3.0,1.0,1.0,0
0,2,57,1,1,1.0,2.5,9.25,0.0,3.75,3.0,1.5,0.0,0.25,0
