Gender,Age,12th marks %,rural/ urban area,Were you prepared to take this course based on prior coursework?,Average Weekly Time Spent,Average Course Outcome Level,Average Effort in Course Outcomes,Average Satisfaction,Stratergies,Average Marks Given,Low mark reason,Faculty Concern,Outside help,Your overall feedback
1,2,34,1,1,2,5,5,2,2,2,1,0,0,0
0,6,33,1,0,5,4,6,1,2,1,1,0,0,1
1,4,12,0,1,4,4,0,1,2,2,3,1,1,0
0,4,26,1,1,1,5,7,1,3,3,1,0,0,0
1,2,21,1,0,1,5,9,2,3,3,1,0,0,0
1,3,60,1,1,5,5,7,0,3,3,1,0,0,0
0,2,90,1,0,0,4,7,1,2,2,1,1,1,0
0,2,81,1,0,0,5,7,2,3,3,0,0,0,0
1,2,44,1,0,1,4,0,1,2,2,1,1,1,0
1,2,19,1,1,1,5,0,0,3,3,1,0,0,0
0,2,40,1,1,1,4,5,1,3,3,1,1,1,0
0,1,18,0,1,1,2,4,0,3,0,3,1,1,3
0,2,88,1,0,1,5,7,0,3,2,1,0,0,1
0,3,19,0,1,2,4,5,2,3,2,3,0,0,1
1,2,35,1,1,2,5,9,0,3,3,1,0,0,0
0,2,86,1,0,0,4,7,0,3,2,1,0,0,0
0,2,67,1,1,3,5,7,2,3,3,0,0,0,0
1,1,14,0,1,1,5,5,0,3,2,1,1,0,0
1,2,38,1,0,2,2,8,3,1,2,1,0,0,1
0,1,31,0,1,1,4,0,2,2,2,3,1,1,0
0,2,57,1,1,1,2,9,0,3,3,1,0,0,0
0,1,31,0,1,1,4,0,1,2,2,3,1,1,0
1,3,33,1,1,2,5,2,1,3,2,1,1,0,0
0,2,28,1,0,0,5,5,0,3,3,1,0,0,0
1,2,34,1,0,1,2,0,0,2,1,1,0,0,1
0,2,4,1,0,0,3,6,1,2,1,3,1,0,1
1,3,27,1,0,4,5,4,2,2,3,3,1,1,0
1,3,62,0,1,2,4,4,1,3,2,3,0,0,1
0,2,58,1,1,3,3,8,0,2,2,3,1,1,0
1,4,13,1,1,2,4,7,0,2,3,1,1,1,0
0,2,34,1,0,3,4,7,0,3,2,1,1,1,1
0,2,96,1,1,2,5,7,2,3,2,3,0,0,0
1,2,7,1,1,1,3,11,2,2,1,3,1,1,1
0,2,47,1,1,1,5,8,2,2,3,1,1,0,0
